13492020B96320452FRUTAS INMA S.L.                        T962531471INMA                                    3490000202013  00000000000000A000000021000000074985920000000000000000000000000                                                                                                                                                                                                                                                                                                                           
23492020B96320452                                                          DE123044739      ALBRECHT HAHN GMB & CO KG               E0000000259358                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          DE291471491      FRUITNESS INTERNATIONAL GMBH            E0000003863690                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          DE812565240      LANDGARD OBST & GEMUSE GMBH KEHL        E0000018231565                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          DE815233161      KOLLA GMBH & CO. KG                     E0000024255821                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          DE815233196      KOLLA AG                                E0000013133486                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          FR31401241153    ABIS S.A.R.L                            E0000007446688                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          FR32324568344    DISTRIMEX, S.A.S.                       E0000000095625                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          FR71309073286    S.A.R.L SODIPRAL                        E0000000426667                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          FR87442021556    FRUTAS PONCHE FRANCE                    E0000000053010                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          FR88319815395    FAUS DURA, S.A.S                        E0000001978489                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          GB239196338      LISONS LTD FRUIT AND VEGETABLES IMP     E000000-243392                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          IT00047800263    FORATO SPA                              E0000000298957                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          IT01279470239    POKER FRUTTA                            E0000000120000                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          IT02836500591    ROYAL FRUITS, S.R.L.                    E0000000504300                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          IT03558450288    SAP SRL                                 E0000000715734                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          IT04364600231    GRUVENTA ITALIA SRL                     E0000000106200                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          IT12642350156    F.LLLI BRAMBILLA SRL                    E0000000311400                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          LU28209453       ROYAL FRUITS S.A                        E0000000728480                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          PL6792797252     CONSORFRUT POLSKA SP. Z.O.O.            E0000002583420                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          PL7010337093     FRESH BOX SP. Z.O.O                     E000000-280000                                                                                                                                                                                                                                                                                                                                                                  
23492020B96320452                                                          PT504981080      BARGOSA PORTUGAL UNIPESSOAL LDA         E0000000396422                                                                                                                                                                                                                                                                                                                                                                  
