*** ESTE FICHERO NO TIENE VALIDEZ LEGAL COMO FACTURA ***
35762900000111731052020010900                                                                                                                                                                          .
357629000001117310520200220205001820200508R424             000742           07072213TORTA GAZPACHO FRESCA 250 JERO1311000000013500000069600000800000000100000000870000000000870001000+                 .
357629000001117310520200220205002120200522R434             000824           07072213TORTA GAZPACHO FRESCA 250 JERO1311000000013500000052200000600000000100000000870000000000870001000+                 .
357629000001117310520200220205002020200522R435             000825           07316131TORTA GAZPACHO HORNO JERO 200G3115000000010000000020800000320000000100000000650000000000650001000+                 .
35762900000111731052020022020803652020050220200502         1000/20/04025004 07247703 RECARGA VODAFONE             0326000001000000000023430000003000000100000078099000000078099002100+                 .
35762900000111731052020022020803662020050220200502         1000/20/04025004 07247708RECARGA MOVISTAR              0826000001000000000007930000001000000100000079339000000079339002100+                 .
35762900000111731052020022020803672020050220200502         1000/20/04025004 07247716RECARGA YOIGO                 1626000001000000000007770000001000000100000077686000000077686002100+                 .
35762900000111731052020022020803682020050220200502         1000/20/04025004 07247737 RECARGA DIGIMOBIL            3726000001000000000046020000006000000100000076694000000076694002100+                 .
35762900000111731052020022020803692020050420200504         1000/20/04025754 07247703 RECARGA VODAFONE             0326000001000000000003900000000500000100000078099000000078099002100+                 .
35762900000111731052020022020803702020050420200504         1000/20/04025754 07247708RECARGA MOVISTAR              0826000001000000000031740000004000000100000079339000000079339002100+                 .
35762900000111731052020022020803712020050420200504         1000/20/04025754 07247716RECARGA YOIGO                 1626000001000000000023310000003000000100000077686000000077686002100+                 .
35762900000111731052020022020803722020050420200504         1000/20/04025754 07247732RECARGA  LLAMAYA MOVIL        3226000001000000000003820000000500000100000076364000000076364002100+                 .
35762900000111731052020022020803732020050420200504         1000/20/04025754 07247737 RECARGA DIGIMOBIL            3726000001000000000053690000007000000100000076694000000076694002100+                 .
35762900000111731052020022020803742020050420200504         1000/20/04025754 07247760RECARGA SIMYO                 6026000001000000000011760000001500000100000078430000000078430002100+                 .
35762900000111731052020022020803752020050520200505         1000/20/04025755 07247711 RECARGA ORANGE               1126000001000000000031340000004000000100000078347000000078347002100+                 .
35762900000111731052020022020803762020050520200505         1000/20/04025755 07247716RECARGA YOIGO                 1626000001000000000007770000001000000100000077686000000077686002100+                 .
35762900000111731052020022020803772020050520200505         1000/20/04025755 07247724 RECARGA LYCAMOBILE           2426000001000000000003930000000500000100000078515000000078515002100+                 .
35762900000111731052020022020803782020050520200505         1000/20/04025755 07247737 RECARGA DIGIMOBIL            3726000001000000000046020000006000000100000076694000000076694002100+                 .
35762900000111731052020022020803792020050520200505         1000/20/04025755 07247760RECARGA SIMYO                 6026000001000000000015690000002000000100000078430000000078430002100+                 .
35762900000111731052020022020803802020050620200506         1000/20/04025757 07247711 RECARGA ORANGE               1126000001000000000007830000001000000100000078347000000078347002100+                 .
35762900000111731052020022020803812020050620200506         1000/20/04025757 07247724 RECARGA LYCAMOBILE           2426000001000000000003930000000500000100000078515000000078515002100+                 .
35762900000111731052020022020803822020050620200506         1000/20/04025757 07247737 RECARGA DIGIMOBIL            3726000001000000000053690000007000000100000076694000000076694002100+                 .
35762900000111731052020022020803832020050620200506         1000/20/04025757 07247760RECARGA SIMYO                 6026000001000000000015690000002000000100000078430000000078430002100+                 .
35762900000111731052020022020803842020050720200507         1000/20/04025758 07247703 RECARGA VODAFONE             0326000001000000000003900000000500000100000078099000000078099002100+                 .
35762900000111731052020022020803852020050720200507         1000/20/04025758 07247711 RECARGA ORANGE               1126000001000000000031340000004000000100000078347000000078347002100+                 .
35762900000111731052020022020803862020050720200507         1000/20/04025758 07247724 RECARGA LYCAMOBILE           2426000001000000000007850000001000000100000078515000000078515002100+                 .
35762900000111731052020022020803872020050720200507         1000/20/04025758 07247737 RECARGA DIGIMOBIL            3726000001000000000019170000002500000100000076694000000076694002100+                 .
35762900000111731052020022020803882020050820200508         1000/20/04025984 07247724 RECARGA LYCAMOBILE           2426000001000000000003930000000500000100000078515000000078515002100+                 .
35762900000111731052020022020803892020050820200508         1000/20/04025984 07247737 RECARGA DIGIMOBIL            3726000001000000000011500000001500000100000076694000000076694002100+                 .
35762900000111731052020022020803902020050820200508         1000/20/04025984 07247760RECARGA SIMYO                 6026000001000000000003920000000500000100000078430000000078430002100+                 .
35762900000111731052020022020803912020050920200509         1000/20/04025986 07247703 RECARGA VODAFONE             0326000001000000000007810000001000000100000078099000000078099002100+                 .
35762900000111731052020022020803922020050920200509         1000/20/04025986 07247708RECARGA MOVISTAR              0826000001000000000055540000007000000100000079339000000079339002100+                 .
35762900000111731052020022020803932020050920200509         1000/20/04025986 07247716RECARGA YOIGO                 1626000001000000000007770000001000000100000077686000000077686002100+                 .
35762900000111731052020022020803942020050920200509         1000/20/04025986 07247724 RECARGA LYCAMOBILE           2426000001000000000003930000000500000100000078515000000078515002100+                 .
35762900000111731052020022020803952020050920200509         1000/20/04025986 07247737 RECARGA DIGIMOBIL            3726000001000000000019170000002500000100000076694000000076694002100+                 .
35762900000111731052020022020803962020051120200511         1000/20/04026863 07247708RECARGA MOVISTAR              0826000001000000000015870000002000000100000079339000000079339002100+                 .
35762900000111731052020022020803972020051120200511         1000/20/04026863 07247711 RECARGA ORANGE               1126000001000000000015670000002000000100000078347000000078347002100+                 .
35762900000111731052020022020803982020051120200511         1000/20/04026863 07247737 RECARGA DIGIMOBIL            3726000001000000000030680000004000000100000076694000000076694002100+                 .
35762900000111731052020022020803992020051120200511         1000/20/04026863 07247760RECARGA SIMYO                 6026000001000000000015690000002000000100000078430000000078430002100+                 .
35762900000111731052020022020804002020051220200512         1000/20/04026864 07247708RECARGA MOVISTAR              0826000001000000000011900000001500000100000079339000000079339002100+                 .
35762900000111731052020022020804012020051220200512         1000/20/04026864 07247737 RECARGA DIGIMOBIL            3726000001000000000030680000004000000100000076694000000076694002100+                 .
35762900000111731052020022020804022020051320200513         1000/20/04026865 07247703 RECARGA VODAFONE             0326000001000000000011710000001500000100000078099000000078099002100+                 .
35762900000111731052020022020804032020051320200513         1000/20/04026865 07247724 RECARGA LYCAMOBILE           2426000001000000000007850000001000000100000078515000000078515002100+                 .
35762900000111731052020022020804042020051320200513         1000/20/04026865 07247737 RECARGA DIGIMOBIL            3726000001000000000015340000002000000100000076694000000076694002100+                 .
35762900000111731052020022020804052020051420200514         1000/20/04026866 07247711 RECARGA ORANGE               1126000001000000000007830000001000000100000078347000000078347002100+                 .
35762900000111731052020022020804062020051420200514         1000/20/04026866 07247729RECARGA LEBARA MOVIL          2926000001000000000011490000001500000100000076612000000076612002100+                 .
35762900000111731052020022020804072020051420200514         1000/20/04026866 07247732RECARGA  LLAMAYA MOVIL        3226000001000000000007640000001000000100000076364000000076364002100+                 .
35762900000111731052020022020804082020051420200514         1000/20/04026866 07247737 RECARGA DIGIMOBIL            3726000001000000000015340000002000000100000076694000000076694002100+                 .
35762900000111731052020022020804092020051520200515         1000/20/04027025 07247708RECARGA MOVISTAR              0826000001000000000007930000001000000100000079339000000079339002100+                 .
