AAA12345 0207 ,07EUR
1000001    -60100,00
1130002        -1,21
1190000      1000,00
1210000      8901,34
1210002       512,19
1210099       222,31
1290001 -28128352,82
2000001    -11311,00
2000002      4644,40
2000004     15107,53
2010003       306,88
2060001     24040,48
2060002        86,82
2060005        -7,85
2060007       309,00
2150001      -816,73
2160001      1016,16
2170001      3432,12
2170002        62,48
2170004      -600,00
2170006       612,43
2170007        84,32
2170008      1609,86
2170009      1465,94
2170010    -45500,00
2170011      1398,00
2170012        60,00
2170013       180,26
2170014      -228,00
2170019       217,50
2806001    -26508,64
2806002       -86,82
2806005      -293,11
2815001      -296,60
2816001      -795,53
2817001     -3432,12
2817002       -62,48
2817006      -612,43
2817007        14,38
2817008     -1609,86
2817009     -1460,58
2817011      -793,55
2817013       -67,58
2817014       -64,50
3000002       181,66
3000003        92,00
4000001     -5086,68
4000002    -10350,09
4000003    -15425,87
4000004     -1622,66
4000005      1782,90
4000006     -2320,88
4000007        -7,63
4000009     -2320,00
4000012     -1910,91
4000014     -5800,00
4000018      5235,36
4000020       -69,60
4000021    -23373,07
4000022      6507,60
4000023      3030,48
4000024      2677,15
4000025      -490,98
4000028      -116,22
4000048       120,35
4000059      -761,30
4000060     -5205,50
4000065     -1254,73
4000066      6056,34
4000997    -15605,46
4100002     -1801,25
4100004       -92,39
4100006     -1160,00
4100008         0,20
4100015    -46300,00
4100019     32985,60
4100028       -86,79
4100031      -789,99
4100035      -984,07
4100036      -232,80
4100041       -66,37
4100043       -26,61
4100047        -0,06
4100051      -334,08
4100053      -226,98
4100058      1196,64
4100060      1160,22
4100069       -47,66
4100070      -487,20
4100071       -88,81
4100073      -405,11
4100100     -1160,00
4100132       821,10
4100198      1625,34
4100220       722,40
4100224       651,48
4100235      2163,12
4100255       574,50
4100288      2950,02
4100295      1252,80
4300001  32666437,68
4300002     -4594,76
4300003   -102350,03
4300004     55700,82
4300005      9686,43
4300006    -12946,47
4300007      9849,60
4300008      3306,00
4300009     20383,11
4300010     -1000,00
4300011      -219,24
4300012      1060,54
4300013      -433,04
4300014      1712,64
4300015      1104,45
4300016     -5864,96
4300018      3105,43
4300019      -154,28
4300021      1274,64
4300022       -46,40
4300023     17033,66
4300024      3425,28
4300027      4875,48
4300029       709,92
4300031     13318,97
4300032      5011,06
4300033       842,38
4300034      6672,66
4300037       402,86
4300038      3944,00
4300040      2980,04
4300061      -445,44
4300089     -1177,40
4300111       630,48
4300116      -757,48
4300117     -1462,14
4300120      -241,28
4300124      -511,56
4300130      -617,12
4300135      -689,04
4300147     -1059,66
4300152      -185,60
4300153      -163,56
4300155      -185,02
4300156      -250,56
4300164       200,00
4300169      -154,28
4300173      -624,08
4300176       -92,80
4300179     -2467,80
4300182      -523,16
4300185      -273,34
4300197      -664,68
4300202      -208,80
4300213      -154,28
4300220      -917,97
4300482    -22696,56
4300497    -12864,60
4300557     -4872,00
4300999       617,60
4301000      1200,60
4301001       242,68
4310001      1000,00
4330001    -19554,15
4650003     -4716,32
4650004    -11168,88
4650005     -6634,24
4650202     81246,30
4720001    345016,71
4720002       306,36
4720003       163,08
4720005       326,92
4720007      1565,89
4730001      -935,56
4740002       504,56
4745000      1485,06
4751001     -5600,88
4760001     -2238,96
4770001  -4862786,34
4770002       -69,27
5200002    105362,46
5510001        50,00
5523001       600,00
5523002       100,00
5524001      -700,00
5540001      -600,00
5700001     -3910,28
5700002      4646,89
5720001     14714,28
5720002    -35062,06
5720003     37318,61
6000001      2031,26
6000002     -1000,00
6000003        96,00
6260001         1,50
6690001       -36,38
6816001        12,70
6817009        44,26
7000001     -3501,00
7050002     -1000,00
7690002       -22,00
8000001       125,36
9000001       900,00
XXA12345 0207       
